indicadores,grupos_coicop_nombre,provincias_nombre,periodos_id,IPC
Índices,General,Ciudad Real,2003M01,78.84
Índices,General,Ciudad Real,2004M01,80.62
Índices,General,Ciudad Real,2005M01,83.29
Índices,General,Ciudad Real,2006M01,87.18
Índices,General,Ciudad Real,2007M01,89.02
Índices,General,Ciudad Real,2008M01,93.18
Índices,General,Ciudad Real,2009M01,93.42
Índices,General,Ciudad Real,2010M01,94.28
Índices,General,Ciudad Real,2011M01,98.07
Índices,General,Ciudad Real,2012M01,100.28
Índices,General,Ciudad Real,2013M01,102.78
Índices,General,Ciudad Real,2014M01,102.74
Índices,General,Ciudad Real,2015M01,100.85
Índices,General,Ciudad Real,2016M01,100.01
Índices,General,Córdoba,2002M01,76.95
Índices,General,Córdoba,2003M01,79.59
Índices,General,Córdoba,2004M01,81.29
Índices,General,Córdoba,2005M01,83.57
Índices,General,Córdoba,2006M01,86.99
Índices,General,Córdoba,2007M01,89.22
Índices,General,Córdoba,2008M01,93.16
Índices,General,Córdoba,2009M01,93.79
Índices,General,Córdoba,2010M01,94.66
Índices,General,Córdoba,2011M01,98.15
Índices,General,Córdoba,2012M01,100.22
Índices,General,Córdoba,2013M01,102.97
Índices,General,Córdoba,2014M01,103.09
Índices,General,Córdoba,2015M01,101.78
Índices,General,Córdoba,2016M01,101.18
Índices,General,Coruña (A),2002M01,75.81
Índices,General,Coruña (A),2003M01,79.08
Índices,General,Coruña (A),2004M01,81.01
Índices,General,Coruña (A),2005M01,83.72
Índices,General,Coruña (A),2006M01,86.93
Índices,General,Coruña (A),2007M01,89
Índices,General,Coruña (A),2008M01,92.73
Índices,General,Coruña (A),2009M01,93.69
Índices,General,Coruña (A),2010M01,94.81
Índices,General,Coruña (A),2011M01,98.12
Índices,General,Coruña (A),2012M01,100.25
Índices,General,Coruña (A),2013M01,102.74
Índices,General,Coruña (A),2014M01,103.13
Índices,General,Coruña (A),2015M01,101.84
Índices,General,Coruña (A),2016M01,101.3
Índices,General,Cuenca,2002M01,77.64
Índices,General,Cuenca,2003M01,79.94
Índices,General,Cuenca,2004M01,81.58
Índices,General,Cuenca,2005M01,84.31
Índices,General,Cuenca,2006M01,87.82
Índices,General,Cuenca,2007M01,89.75
Índices,General,Cuenca,2008M01,93.87
Índices,General,Cuenca,2009M01,94.01
Índices,General,Cuenca,2010M01,94.82
Índices,General,Cuenca,2011M01,98.27
Índices,General,Cuenca,2012M01,100.32
Índices,General,Cuenca,2013M01,102.77
Índices,General,Cuenca,2014M01,102.86
Índices,General,Cuenca,2015M01,100.59
Índices,General,Cuenca,2016M01,100.16
Índices,General,Gipuzkoa,2002M01,77.68
Índices,General,Gipuzkoa,2003M01,80.37
Índices,General,Gipuzkoa,2004M01,82.18
