[TIEMPO],[GENERAL Y GRUPOS ECOICOP],[Measures].[IPC La Rioja],[Measures].[Var (%) mensual (La Rioja)],[Measures].[Var (%) anual (La Rioja)],[Measures].[Var (%) en lo que va de año (La Rioja)]
[TIEMPO].[2023].[Julio (2023)],[GENERAL Y GRUPOS ECOICOP].[00 Índice general], 113,119, 0,3, 2,1, 2,4
[TIEMPO].[2023].[Julio (2023)],[GENERAL Y GRUPOS ECOICOP].[01 Alimentos y bebidas no alcohólicas], 123,927, 0,7, 10,7, 5,4
[TIEMPO].[2023].[Julio (2023)],[GENERAL Y GRUPOS ECOICOP].[02 Bebidas alcohólicas y tabaco], 112,161, 0,1, 8,5, 3,8
[TIEMPO].[2023].[Julio (2023)],[GENERAL Y GRUPOS ECOICOP].[03 Vestido y calzado], 104,16,-10,1, 1,1,-11,3
[TIEMPO].[2023].[Julio (2023)],"[GENERAL Y GRUPOS ECOICOP].[04 Vivienda, agua, electricidad, gas y otros combustibles]", 103,983, 0,3,-17,5,-5,7
[TIEMPO].[2023].[Julio (2023)],"[GENERAL Y GRUPOS ECOICOP].[05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar]", 111,835,-0,4, 4,5, 1,7
[TIEMPO].[2023].[Julio (2023)],[GENERAL Y GRUPOS ECOICOP].[06 Sanidad], 103,275, 0,2, 0,9, 0,9
[TIEMPO].[2023].[Julio (2023)],[GENERAL Y GRUPOS ECOICOP].[07 Transporte], 111,419, 0,7,-4,0, 3,5
[TIEMPO].[2023].[Julio (2023)],[GENERAL Y GRUPOS ECOICOP].[08 Comunicaciones], 101,958,-0,2, 4,2, 4,5
[TIEMPO].[2023].[Julio (2023)],[GENERAL Y GRUPOS ECOICOP].[09 Ocio y cultura], 112,661, 3,4, 8,4, 6,7
[TIEMPO].[2023].[Julio (2023)],[GENERAL Y GRUPOS ECOICOP].[10 Enseñanza], 101,438, 0,3, 4,2, 0,6
[TIEMPO].[2023].[Julio (2023)],[GENERAL Y GRUPOS ECOICOP].[11 Restaurantes y hoteles], 115,658, 1,3, 7,0, 5,5
[TIEMPO].[2023].[Julio (2023)],[GENERAL Y GRUPOS ECOICOP].[12 Otros bienes y servicios], 109,937,-0,1, 4,8, 3,1
[TIEMPO].[2023].[Junio (2023)],[GENERAL Y GRUPOS ECOICOP].[00 Índice general], 112,728, 0,5, 1,7, 2,0
[TIEMPO].[2023].[Junio (2023)],[GENERAL Y GRUPOS ECOICOP].[01 Alimentos y bebidas no alcohólicas], 123,02, 0,4, 10,5, 4,7
[TIEMPO].[2023].[Junio (2023)],[GENERAL Y GRUPOS ECOICOP].[02 Bebidas alcohólicas y tabaco], 112,039,-0,6, 8,3, 3,7
[TIEMPO].[2023].[Junio (2023)],[GENERAL Y GRUPOS ECOICOP].[03 Vestido y calzado], 115,851,-0,6,-1,4,-1,3
